method_id,grid_id,replicate_id,category,outlier_dimension,outlier_severity,sample_count,topology_set_accuracy,topology_rejection_rate,wrong_topology_acceptance_rate,false_unique_rate,parameter_ood_recall,parameter_in_domain_false_alarm,parameter_ood_miss_rate,parameter_indeterminate_rate,optimization_failure_rate
A6_M1_boundary,B_ofdm_active_subcarriers,final02,parameter_out_of_domain,receiver_impedance_ohm,far,1,1,0,0,0,0,NaN,0,1,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final02,parameter_out_of_domain,receiver_impedance_ohm,far,1,1,0,0,0,0,NaN,0,1,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final02,parameter_out_of_domain,receiver_impedance_ohm,far,1,1,0,0,0,0,NaN,0,1,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final02,parameter_out_of_domain,joint_parameter_set,near,1,1,0,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final02,parameter_out_of_domain,joint_parameter_set,near,1,1,0,0,0,0,NaN,0,1,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final02,parameter_out_of_domain,joint_parameter_set,near,1,1,0,0,0,0,NaN,0,1,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final02,parameter_out_of_domain,joint_parameter_set,near,1,1,0,0,0,0,NaN,0,1,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final03,parameter_in_domain,,,7,1,0,0,0,NaN,0,NaN,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final03,parameter_in_domain,,,7,1,0,0,0,NaN,0,NaN,1,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final03,parameter_in_domain,,,7,1,0,0,0,NaN,0,NaN,1,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final03,parameter_in_domain,,,7,1,0,0,0,NaN,0,NaN,1,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,main_length_scale,far,1,0,1,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,main_length_scale,far,1,0,1,0,0,0,NaN,0,0,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,main_length_scale,far,1,0,1,0,0,0,NaN,0,0,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,main_length_scale,far,1,0,1,0,0,0,NaN,0,0,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,branch_length_scale,near,1,1,0,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,branch_length_scale,near,1,1,0,0,0,0,NaN,0,1,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,branch_length_scale,near,1,1,0,0,0,0,NaN,0,1,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,branch_length_scale,near,1,1,0,0,0,0,NaN,0,1,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,branch_load_scale,medium,1,1,0,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,branch_load_scale,medium,1,1,0,0,0,0,NaN,0,1,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,branch_load_scale,medium,1,1,0,0,0,0,NaN,0,1,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,branch_load_scale,medium,1,1,0,0,0,0,NaN,0,1,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,source_impedance_ohm,far,1,1,0,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,source_impedance_ohm,far,1,1,0,0,0,0,NaN,0,1,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,source_impedance_ohm,far,1,1,0,0,0,0,NaN,0,1,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,source_impedance_ohm,far,1,1,0,0,0,0,NaN,0,1,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,receiver_impedance_ohm,near,1,1,0,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,receiver_impedance_ohm,near,1,1,0,0,0,0,NaN,0,1,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,receiver_impedance_ohm,near,1,1,0,0,0,0,NaN,0,1,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,receiver_impedance_ohm,near,1,1,0,0,0,0,NaN,0,1,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,joint_parameter_set,medium,1,0,1,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,joint_parameter_set,medium,1,0,1,0,0,0,NaN,0,0,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,joint_parameter_set,medium,1,0,1,0,0,0,NaN,0,0,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final03,parameter_out_of_domain,joint_parameter_set,medium,1,0,1,0,0,0,NaN,0,0,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final04,parameter_in_domain,,,7,1,0,0,0,NaN,0,NaN,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final04,parameter_in_domain,,,7,1,0,0,0,NaN,0,NaN,1,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final04,parameter_in_domain,,,7,1,0,0,0,NaN,0,NaN,1,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final04,parameter_in_domain,,,7,1,0,0,0,NaN,0,NaN,1,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,main_length_scale,near,1,1,0,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,main_length_scale,near,1,1,0,0,0,0,NaN,0,1,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,main_length_scale,near,1,1,0,0,0,0,NaN,0,1,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,main_length_scale,near,1,1,0,0,0,0,NaN,0,1,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,branch_length_scale,medium,1,1,0,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,branch_length_scale,medium,1,1,0,0,0,0,NaN,0,1,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,branch_length_scale,medium,1,1,0,0,0,0,NaN,0,1,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,branch_length_scale,medium,1,1,0,0,0,0,NaN,0,1,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,branch_load_scale,far,1,1,0,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,branch_load_scale,far,1,1,0,0,0,0,NaN,0,1,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,branch_load_scale,far,1,1,0,0,0,0,NaN,0,1,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,branch_load_scale,far,1,1,0,0,0,0,NaN,0,1,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,source_impedance_ohm,near,1,1,0,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,source_impedance_ohm,near,1,1,0,0,0,0,NaN,0,1,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,source_impedance_ohm,near,1,1,0,0,0,0,NaN,0,1,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,source_impedance_ohm,near,1,1,0,0,0,0,NaN,0,1,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,receiver_impedance_ohm,medium,1,1,0,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,receiver_impedance_ohm,medium,1,1,0,0,0,0,NaN,0,1,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,receiver_impedance_ohm,medium,1,1,0,0,0,0,NaN,0,1,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,receiver_impedance_ohm,medium,1,1,0,0,0,0,NaN,0,1,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,joint_parameter_set,far,1,0,1,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,joint_parameter_set,far,1,0,1,0,0,0,NaN,0,0,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,joint_parameter_set,far,1,0,1,0,0,0,NaN,0,0,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final04,parameter_out_of_domain,joint_parameter_set,far,1,0,1,0,0,0,NaN,0,0,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final05,parameter_in_domain,,,7,0.857142857142857,0.142857142857143,0,0,NaN,0,NaN,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final05,parameter_in_domain,,,7,0.857142857142857,0.142857142857143,0,0,NaN,0,NaN,0.857142857142857,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final05,parameter_in_domain,,,7,0.857142857142857,0.142857142857143,0,0,NaN,0,NaN,0.857142857142857,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final05,parameter_in_domain,,,7,0.857142857142857,0.142857142857143,0,0,NaN,0,NaN,0.857142857142857,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,main_length_scale,medium,1,0,1,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,main_length_scale,medium,1,0,1,0,0,0,NaN,0,0,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,main_length_scale,medium,1,0,1,0,0,0,NaN,0,0,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,main_length_scale,medium,1,0,1,0,0,0,NaN,0,0,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,branch_length_scale,far,1,1,0,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,branch_length_scale,far,1,1,0,0,0,0,NaN,0,1,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,branch_length_scale,far,1,1,0,0,0,0,NaN,0,1,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,branch_length_scale,far,1,1,0,0,0,0,NaN,0,1,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,branch_load_scale,near,1,1,0,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,branch_load_scale,near,1,1,0,0,0,0,NaN,0,1,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,branch_load_scale,near,1,1,0,0,0,0,NaN,0,1,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,branch_load_scale,near,1,1,0,0,0,0,NaN,0,1,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,source_impedance_ohm,medium,1,0,1,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,source_impedance_ohm,medium,1,0,1,0,0,0,NaN,0,0,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,source_impedance_ohm,medium,1,0,1,0,0,0,NaN,0,0,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,source_impedance_ohm,medium,1,0,1,0,0,0,NaN,0,0,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,receiver_impedance_ohm,far,1,0,1,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,receiver_impedance_ohm,far,1,0,1,0,0,0,NaN,0,0,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,receiver_impedance_ohm,far,1,0,1,0,0,0,NaN,0,0,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,receiver_impedance_ohm,far,1,0,1,0,0,0,NaN,0,0,1
A6_M0_topology_only,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,joint_parameter_set,near,1,1,0,0,0,0,NaN,0,0,1
A6_M1_boundary,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,joint_parameter_set,near,1,1,0,0,0,0,NaN,0,1,1
A6_M2_extended_profile,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,joint_parameter_set,near,1,1,0,0,0,0,NaN,0,1,1
A6_M3_joint_diagnostic,B_ofdm_active_subcarriers,final05,parameter_out_of_domain,joint_parameter_set,near,1,1,0,0,0,0,NaN,0,1,1
