measurement_kind,topology_i,topology_j,complex_distance,complex_distance_raw,same_equivalence_class,class_i,class_j,view_count,tie_tolerance
bidirectional_endpoint_fixed,T2,T3,0.00907659652683311,0.137552894732028,0,"{T2}","{T3}",2,1e-10
bidirectional_endpoint_fixed,T2,T4,0.0113403554711938,0.174099228847999,0,"{T2}","{T4}",2,1e-10
bidirectional_endpoint_fixed,T2,T5,0.00903418435403456,0.137004031633158,0,"{T2}","{T5}",2,1e-10
bidirectional_endpoint_fixed,T3,T4,0.0087530420076076,0.131693123296416,0,"{T3}","{T4}",2,1e-10
bidirectional_endpoint_fixed,T3,T5,0.00106551244930262,0.0156718577235173,0,"{T3}","{T5}",2,1e-10
bidirectional_endpoint_fixed,T4,T5,0.00839813434684375,0.128383958764501,0,"{T4}","{T5}",2,1e-10
dual_receiver_complete,T2,T3,0.00949938330115452,0.0801908520344983,0,"{T2}","{T3}",2,1e-10
dual_receiver_complete,T2,T4,0.015063848549168,0.123529482015815,0,"{T2}","{T4}",2,1e-10
dual_receiver_complete,T2,T5,0.0121611067905873,0.128317034365666,0,"{T2}","{T5}",2,1e-10
dual_receiver_complete,T3,T4,0.0117562851879122,0.166486127913317,0,"{T3}","{T4}",2,1e-10
dual_receiver_complete,T3,T5,0.0110408078044531,0.178199619969816,0,"{T3}","{T5}",2,1e-10
dual_receiver_complete,T4,T5,0.00655988893110897,0.0336799712834351,0,"{T4}","{T5}",2,1e-10
siso_forward_asymmetric,T2,T3,0.00907659652683312,0.149441447338467,0,"{T2}","{T3}",1,1e-10
siso_forward_asymmetric,T2,T4,0.0113403554711938,0.18914644283017,0,"{T2}","{T4}",1,1e-10
siso_forward_asymmetric,T2,T5,0.00903418435403456,0.148845146576889,0,"{T2}","{T5}",1,1e-10
siso_forward_asymmetric,T3,T4,0.00875304200760761,0.143075221995724,0,"{T3}","{T4}",1,1e-10
siso_forward_asymmetric,T3,T5,0.00106551244930262,0.0170263599704502,0,"{T3}","{T5}",1,1e-10
siso_forward_asymmetric,T4,T5,0.00839813434684375,0.139480049839632,0,"{T4}","{T5}",1,1e-10
siso_forward,T2,T3,0.00991387788137379,0.119371406125269,0,"{T2}","{T3,T5}",1,1e-10
siso_forward,T2,T4,0.012043698823872,0.145520355802141,0,"{T2}","{T4}",1,1e-10
siso_forward,T2,T5,0.00991387788137379,0.119371406125269,0,"{T2}","{T3,T5}",1,1e-10
siso_forward,T3,T4,0.00877175558160841,0.103921467502049,0,"{T3,T5}","{T4}",1,1e-10
siso_forward,T3,T5,1.03310343781138e-17,1.1842756454596e-16,1,"{T3,T5}","{T3,T5}",1,1e-10
siso_forward,T4,T5,0.00877175558160841,0.103921467502049,0,"{T4}","{T3,T5}",1,1e-10
siso_reverse_endpoint_fixed,T2,T3,0.00907659652683311,0.124534539448722,0,"{T2}","{T3}",1,1e-10
siso_reverse_endpoint_fixed,T2,T4,0.0113403554711938,0.157622035691808,0,"{T2}","{T4}",1,1e-10
siso_reverse_endpoint_fixed,T2,T5,0.00903418435403456,0.124037622147408,0,"{T2}","{T5}",1,1e-10
siso_reverse_endpoint_fixed,T3,T4,0.0087530420076076,0.119229351663104,0,"{T3}","{T4}",1,1e-10
siso_reverse_endpoint_fixed,T3,T5,0.00106551244930262,0.0141886333087085,0,"{T3}","{T5}",1,1e-10
siso_reverse_endpoint_fixed,T4,T5,0.00839813434684375,0.11623337486636,0,"{T4}","{T5}",1,1e-10
siso_reverse_role_fixed,T2,T3,0.00903418435403456,0.148845146576889,0,"{T2}","{T3}",1,1e-10
siso_reverse_role_fixed,T2,T4,0.0113403554711938,0.18914644283017,0,"{T2}","{T4}",1,1e-10
siso_reverse_role_fixed,T2,T5,0.00907659652683311,0.149441447338467,0,"{T2}","{T5}",1,1e-10
siso_reverse_role_fixed,T3,T4,0.00839813434684375,0.139480049839632,0,"{T3}","{T4}",1,1e-10
siso_reverse_role_fixed,T3,T5,0.00106551244930262,0.0170263599704502,0,"{T3}","{T5}",1,1e-10
siso_reverse_role_fixed,T4,T5,0.00875304200760761,0.143075221995724,0,"{T4}","{T5}",1,1e-10
three_view_complete,T2,T3,0.00963952870305908,0.0950625725515593,0,"{T2}","{T3}",3,1e-10
three_view_complete,T2,T4,0.0141290451149948,0.131269747475663,0,"{T2}","{T4}",3,1e-10
three_view_complete,T2,T5,0.01146109377257,0.125406080683411,0,"{T2}","{T5}",3,1e-10
three_view_complete,T3,T4,0.0108530207595631,0.14858772154625,0,"{T3}","{T4}",3,1e-10
three_view_complete,T3,T5,0.0090147818230161,0.145499380427975,0,"{T3}","{T5}",3,1e-10
three_view_complete,T4,T5,0.00737129526294283,0.0660008897391679,0,"{T4}","{T5}",3,1e-10
