method_id,grid_id,scenario_id,replicate_id,category,outlier_dimension,metric_scope,sample_count,truth_coverage_rate,truth_coverage_num,truth_coverage_den,unique_accuracy_given_covered,unique_accuracy_num,unique_accuracy_den,unique_accuracy_ci_low,unique_accuracy_ci_high,set_accuracy_given_covered,set_accuracy_num,set_accuracy_den,set_accuracy_ci_low,set_accuracy_ci_high,set_accuracy_macro,set_accuracy_macro_component_count,nearest_topology_hit_rate,nearest_topology_hit_num,nearest_topology_hit_den,nearest_topology_hit_ci_low,nearest_topology_hit_ci_high,false_unique_rate_given_nonunique,false_unique_num,false_unique_den,false_unique_ci_low,false_unique_ci_high,accepted_rate,accepted_num,accepted_den,accepted_ci_low,accepted_ci_high,unique_output_precision,unique_output_precision_num,unique_output_precision_den,unique_output_precision_ci_low,unique_output_precision_ci_high,structure_out_false_accept_rate,structure_out_false_accept_num,structure_out_false_accept_den,structure_out_false_accept_ci_low,structure_out_false_accept_ci_high,parameter_out_false_accept_rate,parameter_out_false_accept_num,parameter_out_false_accept_den,parameter_out_false_accept_ci_low,parameter_out_false_accept_ci_high,structure_out_unique_accept_rate,parameter_out_unique_accept_rate,unique_given_prior_rate,reject_model_mismatch_rate,reject_model_mismatch_num,reject_model_mismatch_den,reject_model_mismatch_ci_low,reject_model_mismatch_ci_high,reject_subband_mismatch_rate,reject_subband_mismatch_num,reject_subband_mismatch_den,reject_subband_mismatch_ci_low,reject_subband_mismatch_ci_high,reject_neighborhood_mismatch_rate,reject_neighborhood_mismatch_num,reject_neighborhood_mismatch_den,reject_neighborhood_mismatch_ci_low,reject_neighborhood_mismatch_ci_high,reject_low_stability_rate,reject_low_stability_num,reject_low_stability_den,reject_low_stability_ci_low,reject_low_stability_ci_high,reject_low_margin_rate,reject_low_margin_num,reject_low_margin_den,reject_low_margin_ci_low,reject_low_margin_ci_high,mean_best_distance,mean_margin,mean_subband_max,mean_neighborhood_score,mean_stability,mean_accepted_set_size
M1_M8_q750_K5_qs00,A_stage4a1_quick61,P0_no_prior,final01,structure_out,structure_key_01,detail,7,0,0,7,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.428571428571429,3,7,0.15821985525147,0.749541635472342,0,0,3,0,0.561497031755045,0.428571428571429,3,7,0.15821985525147,0.749541635472342,NaN,0,0,NaN,NaN,0.428571428571429,NaN,0,0,0,7,0,0.354330435066686,0,0,7,0,0.354330435066686,0,0,7,0,0.354330435066686,0,0,7,0,0.354330435066686,0.571428571428571,4,7,0.250458364527658,0.84178014474853,0.102489384647273,0.00661859773886729,2.02473254342104,0.103073967170264,NaN,0.428571428571429
M1_M8_q750_K5_qs00,A_stage4a1_quick61,P0_no_prior,final01,structure_out,structure_key_02,detail,7,0,0,7,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.142857142857143,1,7,0.0256796243447437,0.513127829274318,0,0,1,0,0.793450685622762,0.142857142857143,1,7,0.0256796243447437,0.513127829274318,NaN,0,0,NaN,NaN,0.142857142857143,NaN,0,0,0,7,0,0.354330435066686,0.857142857142857,6,7,0.486872170725682,0.974320375655256,0,0,7,0,0.354330435066686,0,0,7,0,0.354330435066686,0,0,7,0,0.354330435066686,0.111213433276781,0.0156832141814334,3.44102346203395,0.112741316011442,NaN,0.142857142857143
M1_M8_q750_K5_qs00,A_stage4a1_quick61,P0_no_prior,final01,structure_out,structure_key_03,detail,6,0,0,6,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.333333333333333,2,6,0.0967714111057806,0.700006684861607,0,0,2,0,0.657619772493346,0.333333333333333,2,6,0.0967714111057806,0.700006684861607,NaN,0,0,NaN,NaN,0.333333333333333,NaN,0,0,0,6,0,0.390334287902164,0,0,6,0,0.390334287902164,0,0,6,0,0.390334287902164,0,0,6,0,0.390334287902164,0.666666666666667,4,6,0.299993315138393,0.903228588894219,0.0785519129646792,0.00697117409631449,1.71994278754196,0.0792317932960833,NaN,0.333333333333333
M1_M8_q750_K5_qs00,A_stage4a1_quick61,P0_no_prior,final01,parameter_out,main_length_scale,detail,4,0,0,4,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,0,0,4,0,0.489890836454596,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,4,0,0.489890836454596,NaN,0,0,1,4,4,0.510109163545404,1,0,0,4,0,0.489890836454596,0,0,4,0,0.489890836454596,0,0,4,0,0.489890836454596,0,0,4,0,0.489890836454596,0.326362190018889,0.00169479077982052,NaN,NaN,NaN,0
M1_M8_q750_K5_qs00,A_stage4a1_quick61,P0_no_prior,final01,parameter_out,branch_length_scale,detail,4,0,0,4,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,0.25,1,4,0.0455872608097007,0.699358157417597,1,1,1,0.206549314377238,1,NaN,0,0,NaN,NaN,0.25,1,4,0.0455872608097007,0.699358157417597,NaN,0.25,0,0,0,4,0,0.489890836454596,0.5,2,4,0.15003898915215,0.84996101084785,0,0,4,0,0.489890836454596,0,0,4,0,0.489890836454596,0.25,1,4,0.0455872608097007,0.699358157417597,0.166261552142913,0.0220661846221792,2.31000952268522,0.167377465461256,NaN,0.25
M1_M8_q750_K5_qs00,A_stage4a1_quick61,P0_no_prior,final01,parameter_out,branch_load_scale,detail,3,0,0,3,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,0,0,1,0,0.793450685622762,1,3,3,0.438502968244955,1,1,2,2,0.342380227506654,1,NaN,0,0,NaN,NaN,1,3,3,0.438502968244955,1,NaN,0.666666666666667,0,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0.126032218124236,0.0537226832874864,0.96153326373387,0.12679251613633,NaN,1.33333333333333
M1_M8_q750_K5_qs00,A_stage4a1_quick61,P0_no_prior,final01,parameter_out,source_impedance_ohm,detail,3,0,0,3,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,0.333333333333333,1,3,0.0614919447203964,0.792340399197952,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.333333333333333,1,3,0.0614919447203964,0.792340399197952,NaN,0,0,0.333333333333333,1,3,0.0614919447203964,0.792340399197952,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0.333333333333333,1,3,0.0614919447203964,0.792340399197952,0.146792734565415,0.0218242678604853,0.759970179932848,0.11762585626279,NaN,0.666666666666667
M1_M8_q750_K5_qs00,A_stage4a1_quick61,P0_no_prior,final01,parameter_out,receiver_impedance_ohm,detail,3,0,0,3,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,0.666666666666667,2,3,0.207659600802048,0.938508055279603,1,1,1,0.206549314377238,1,NaN,0,0,NaN,NaN,0.666666666666667,2,3,0.207659600802048,0.938508055279603,NaN,0.333333333333333,0,0,0,3,0,0.561497031755045,0.333333333333333,1,3,0.0614919447203964,0.792340399197952,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0.0963108666892989,0.0161894040715223,1.70185081082872,0.0999046042859334,NaN,1
M1_M8_q750_K5_qs00,A_stage4a1_quick61,P0_no_prior,final01,parameter_out,joint_parameter_set,detail,3,0,0,3,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,0,0,3,0,0.561497031755045,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,3,0,0.561497031755045,NaN,0,0,0.333333333333333,1,3,0.0614919447203964,0.792340399197952,0.666666666666667,2,3,0.207659600802048,0.938508055279603,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0.218062370975994,0.00188022724433416,2.5973679094203,0.205599810007609,NaN,0
M2_M8_q750_K3_qs00,A_stage4a1_quick61,P0_no_prior,final01,in_library_continuous,,detail,42,1,42,42,0.380952380952381,16,42,0.249997257639552,0.531859597328473,0.880952380952381,37,42,0.749996097379904,0.948061966722417,NaN,0,0.666666666666667,28,42,0.515525073768338,0.789875329276427,0,0,24,0,0.13797620467498,0.880952380952381,37,42,0.749996097379904,0.948061966722417,1,16,16,0.806392319465564,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0.0476190476190476,2,42,0.0131575249089056,0.157898523969588,0,0,42,0,0.0837987908657036,0.0714285714285714,3,42,0.024590409873306,0.190094268011583,0,0,42,0,0.0837987908657036,0,0,42,0,0.0837987908657036,0.0926179463818137,0.0335911592697855,0.385357699141569,0.0859249861936024,NaN,1.38095238095238
M2_M8_q750_K3_qs00,A_stage4a1_quick61,P0_no_prior,final01,in_library_grid,,detail,14,1,14,14,0.428571428571429,6,14,0.213807989044742,0.674093554203492,1,14,14,0.784689197262365,1,NaN,0,1,14,14,0.784689197262365,1,0,0,8,0,0.324407564883879,1,14,14,0.784689197262365,1,1,6,6,0.609665712097836,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,14,0,0.215310802737635,0,0,14,0,0.215310802737635,0,0,14,0,0.215310802737635,0,0,14,0,0.215310802737635,0,0,14,0,0.215310802737635,0,0.0882953437770115,-0.920517623883738,0.00467696362712755,NaN,1.57142857142857
M2_M8_q750_K3_qs00,A_stage4a1_quick61,P0_no_prior,final01,structure_out,structure_key_01,detail,7,0,0,7,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.428571428571429,3,7,0.15821985525147,0.749541635472342,0,0,3,0,0.561497031755045,0.428571428571429,3,7,0.15821985525147,0.749541635472342,NaN,0,0,NaN,NaN,0.428571428571429,NaN,0,0,0,7,0,0.354330435066686,0,0,7,0,0.354330435066686,0.571428571428571,4,7,0.250458364527658,0.84178014474853,0,0,7,0,0.354330435066686,0,0,7,0,0.354330435066686,0.102489384647273,0.00661859773886729,2.02473254342104,0.102738975098435,NaN,0.428571428571429
M2_M8_q750_K3_qs00,A_stage4a1_quick61,P0_no_prior,final01,structure_out,structure_key_02,detail,7,0,0,7,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.142857142857143,1,7,0.0256796243447437,0.513127829274318,0,0,1,0,0.793450685622762,0.142857142857143,1,7,0.0256796243447437,0.513127829274318,NaN,0,0,NaN,NaN,0.142857142857143,NaN,0,0,0,7,0,0.354330435066686,0.857142857142857,6,7,0.486872170725682,0.974320375655256,0,0,7,0,0.354330435066686,0,0,7,0,0.354330435066686,0,0,7,0,0.354330435066686,0.111213433276781,0.0156832141814334,3.44102346203395,0.111963040030857,NaN,0.142857142857143
M2_M8_q750_K3_qs00,A_stage4a1_quick61,P0_no_prior,final01,structure_out,structure_key_03,detail,6,0,0,6,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.333333333333333,2,6,0.0967714111057806,0.700006684861607,0,0,2,0,0.657619772493346,0.333333333333333,2,6,0.0967714111057806,0.700006684861607,NaN,0,0,NaN,NaN,0.333333333333333,NaN,0,0,0,6,0,0.390334287902164,0,0,6,0,0.390334287902164,0.5,3,6,0.187616306482651,0.812383693517349,0,0,6,0,0.390334287902164,0.166666666666667,1,6,0.0300533697483067,0.56350282218647,0.0785519129646792,0.00697117409631449,1.71994278754196,0.0788547951059523,NaN,0.333333333333333
M2_M8_q750_K3_qs00,A_stage4a1_quick61,P0_no_prior,final01,parameter_out,main_length_scale,detail,4,0,0,4,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,0,0,4,0,0.489890836454596,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,4,0,0.489890836454596,NaN,0,0,1,4,4,0.510109163545404,1,0,0,4,0,0.489890836454596,0,0,4,0,0.489890836454596,0,0,4,0,0.489890836454596,0,0,4,0,0.489890836454596,0.326362190018889,0.00169479077982052,NaN,NaN,NaN,0
M2_M8_q750_K3_qs00,A_stage4a1_quick61,P0_no_prior,final01,parameter_out,branch_length_scale,detail,4,0,0,4,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,0.25,1,4,0.0455872608097007,0.699358157417597,1,1,1,0.206549314377238,1,NaN,0,0,NaN,NaN,0.25,1,4,0.0455872608097007,0.699358157417597,NaN,0.25,0,0,0,4,0,0.489890836454596,0.5,2,4,0.15003898915215,0.84996101084785,0.25,1,4,0.0455872608097007,0.699358157417597,0,0,4,0,0.489890836454596,0,0,4,0,0.489890836454596,0.166261552142913,0.0220661846221792,2.31000952268522,0.16681671601261,NaN,0.25
M2_M8_q750_K3_qs00,A_stage4a1_quick61,P0_no_prior,final01,parameter_out,branch_load_scale,detail,3,0,0,3,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,0,0,1,0,0.793450685622762,1,3,3,0.438502968244955,1,1,2,2,0.342380227506654,1,NaN,0,0,NaN,NaN,1,3,3,0.438502968244955,1,NaN,0.666666666666667,0,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0.126032218124236,0.0537226832874864,0.96153326373387,0.126421572802509,NaN,1.33333333333333
M2_M8_q750_K3_qs00,A_stage4a1_quick61,P0_no_prior,final01,parameter_out,source_impedance_ohm,detail,3,0,0,3,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,0.333333333333333,1,3,0.0614919447203964,0.792340399197952,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0.333333333333333,1,3,0.0614919447203964,0.792340399197952,NaN,0,0,0.333333333333333,1,3,0.0614919447203964,0.792340399197952,0,0,3,0,0.561497031755045,0.333333333333333,1,3,0.0614919447203964,0.792340399197952,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0.146792734565415,0.0218242678604853,0.759970179932848,0.117418621127039,NaN,0.666666666666667
M2_M8_q750_K3_qs00,A_stage4a1_quick61,P0_no_prior,final01,parameter_out,receiver_impedance_ohm,detail,3,0,0,3,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,0.666666666666667,2,3,0.207659600802048,0.938508055279603,1,1,1,0.206549314377238,1,NaN,0,0,NaN,NaN,0.666666666666667,2,3,0.207659600802048,0.938508055279603,NaN,0.333333333333333,0,0,0,3,0,0.561497031755045,0.333333333333333,1,3,0.0614919447203964,0.792340399197952,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0.0963108666892989,0.0161894040715223,1.70185081082872,0.0984046455869429,NaN,1
M2_M8_q750_K3_qs00,A_stage4a1_quick61,P0_no_prior,final01,parameter_out,joint_parameter_set,detail,3,0,0,3,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,NaN,0,0,NaN,NaN,0,0,2,0,0.657619772493346,0,0,3,0,0.561497031755045,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,3,0,0.561497031755045,NaN,0,0,0.333333333333333,1,3,0.0614919447203964,0.792340399197952,0.666666666666667,2,3,0.207659600802048,0.938508055279603,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0,0,3,0,0.561497031755045,0.218062370975994,0.00188022724433416,2.5973679094203,0.204435671301,NaN,0
