grid_id,scenario_id,replicate_id,candidate_count,candidate_count_before_prior,parameter_template_count,composite_template_count,frequency_count,estimated_memory_bytes,cache_source,configuration_hash
A_stage4a1_quick61,P1_partial_consistent_prior,final05,4,7,243,972,61,948672,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,P2_stale_or_inconsistent_prior,final05,4,7,243,972,61,948672,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,P0_no_prior,final05,7,7,243,1701,1793,48798288,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,P1_partial_consistent_prior,final05,4,7,243,972,1793,27884736,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,final05,4,7,243,972,1793,27884736,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,P0_no_prior,final06,7,7,243,1701,61,1660176,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,P1_partial_consistent_prior,final06,4,7,243,972,61,948672,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,P2_stale_or_inconsistent_prior,final06,4,7,243,972,61,948672,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,P0_no_prior,final06,7,7,243,1701,1793,48798288,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,P1_partial_consistent_prior,final06,4,7,243,972,1793,27884736,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,final06,4,7,243,972,1793,27884736,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,P0_no_prior,final07,7,7,243,1701,61,1660176,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,P1_partial_consistent_prior,final07,4,7,243,972,61,948672,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,P2_stale_or_inconsistent_prior,final07,4,7,243,972,61,948672,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,P0_no_prior,final07,7,7,243,1701,1793,48798288,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,P1_partial_consistent_prior,final07,4,7,243,972,1793,27884736,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,final07,4,7,243,972,1793,27884736,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,P0_no_prior,final08,7,7,243,1701,61,1660176,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,P1_partial_consistent_prior,final08,4,7,243,972,61,948672,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
A_stage4a1_quick61,P2_stale_or_inconsistent_prior,final08,4,7,243,972,61,948672,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,P0_no_prior,final08,7,7,243,1701,1793,48798288,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,P1_partial_consistent_prior,final08,4,7,243,972,1793,27884736,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
B_ofdm_active_subcarriers,P2_stale_or_inconsistent_prior,final08,4,7,243,972,1793,27884736,stage4a4_cache_or_stage4a5_cache,f5355193b563ab35fde3db906a9397c0d8541c5c951f19b151f3c552bf4d2c0e
