method_id,grid_id,scenario_id,replicate_id,category,outlier_dimension,metric_scope,sample_count,truth_coverage_rate,truth_coverage_num,truth_coverage_den,unique_accuracy_given_covered,unique_accuracy_num,unique_accuracy_den,unique_accuracy_ci_low,unique_accuracy_ci_high,set_accuracy_given_covered,set_accuracy_num,set_accuracy_den,set_accuracy_ci_low,set_accuracy_ci_high,set_accuracy_macro,set_accuracy_macro_component_count,nearest_topology_hit_rate,nearest_topology_hit_num,nearest_topology_hit_den,nearest_topology_hit_ci_low,nearest_topology_hit_ci_high,false_unique_rate_given_nonunique,false_unique_num,false_unique_den,false_unique_ci_low,false_unique_ci_high,accepted_rate,accepted_num,accepted_den,accepted_ci_low,accepted_ci_high,unique_output_precision,unique_output_precision_num,unique_output_precision_den,unique_output_precision_ci_low,unique_output_precision_ci_high,structure_out_false_accept_rate,structure_out_false_accept_num,structure_out_false_accept_den,structure_out_false_accept_ci_low,structure_out_false_accept_ci_high,parameter_out_false_accept_rate,parameter_out_false_accept_num,parameter_out_false_accept_den,parameter_out_false_accept_ci_low,parameter_out_false_accept_ci_high,structure_out_unique_accept_rate,parameter_out_unique_accept_rate,unique_given_prior_rate,reject_model_mismatch_rate,reject_model_mismatch_num,reject_model_mismatch_den,reject_model_mismatch_ci_low,reject_model_mismatch_ci_high,reject_subband_mismatch_rate,reject_subband_mismatch_num,reject_subband_mismatch_den,reject_subband_mismatch_ci_low,reject_subband_mismatch_ci_high,reject_neighborhood_mismatch_rate,reject_neighborhood_mismatch_num,reject_neighborhood_mismatch_den,reject_neighborhood_mismatch_ci_low,reject_neighborhood_mismatch_ci_high,reject_low_stability_rate,reject_low_stability_num,reject_low_stability_den,reject_low_stability_ci_low,reject_low_stability_ci_high,reject_low_margin_rate,reject_low_margin_num,reject_low_margin_den,reject_low_margin_ci_low,reject_low_margin_ci_high,mean_best_distance,mean_margin,mean_subband_max,mean_neighborhood_score,mean_stability,mean_accepted_set_size
M2_M8_q900_K3_qs00,A_stage4a1_quick61,P0_no_prior,dev01,in_library_continuous,,detail,28,1,28,28,0.357142857142857,10,28,0.207058295077377,0.541696934855722,0.821428571428571,23,28,0.644085752106571,0.921214980543957,NaN,0,0.785714285714286,22,28,0.604614143462782,0.897875396671021,0,0,16,0,0.193607680534436,0.821428571428571,23,28,0.644085752106571,0.921214980543957,1,10,10,0.722467200137112,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,28,0,0.120643304765845,0.0714285714285714,2,28,0.0198120641153058,0.22645362568399,0.0714285714285714,2,28,0.0198120641153058,0.22645362568399,0,0,28,0,0.120643304765845,0.0357142857142857,1,28,0.00633251984903777,0.177121977433533,0.114085575134061,0.0244401996951368,1.64538781369011,0.11432775793541,NaN,1.28571428571429
M2_M8_q900_K5_qs00,A_stage4a1_quick61,P0_no_prior,dev01,in_library_continuous,,detail,28,1,28,28,0.357142857142857,10,28,0.207058295077377,0.541696934855722,0.821428571428571,23,28,0.644085752106571,0.921214980543957,NaN,0,0.785714285714286,22,28,0.604614143462782,0.897875396671021,0,0,16,0,0.193607680534436,0.821428571428571,23,28,0.644085752106571,0.921214980543957,1,10,10,0.722467200137112,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,28,0,0.120643304765845,0.0714285714285714,2,28,0.0198120641153058,0.22645362568399,0.107142857142857,3,28,0.0371183668293001,0.271958515486721,0,0,28,0,0.120643304765845,0,0,28,0,0.120643304765845,0.114085575134061,0.0244401996951368,1.64538781369011,0.114597802738111,NaN,1.28571428571429
M2_M8_q900_K10_qs00,A_stage4a1_quick61,P0_no_prior,dev01,in_library_continuous,,detail,28,1,28,28,0.357142857142857,10,28,0.207058295077377,0.541696934855722,0.821428571428571,23,28,0.644085752106571,0.921214980543957,NaN,0,0.785714285714286,22,28,0.604614143462782,0.897875396671021,0,0,16,0,0.193607680534436,0.821428571428571,23,28,0.644085752106571,0.921214980543957,1,10,10,0.722467200137112,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,28,0,0.120643304765845,0.0714285714285714,2,28,0.0198120641153058,0.22645362568399,0.107142857142857,3,28,0.0371183668293001,0.271958515486721,0,0,28,0,0.120643304765845,0,0,28,0,0.120643304765845,0.114085575134061,0.0244401996951368,1.64538781369011,0.115351229620117,NaN,1.28571428571429
M3_M4_q750_K3_qs70,A_stage4a1_quick61,P0_no_prior,dev01,in_library_continuous,,detail,28,1,28,28,0.392857142857143,11,28,0.235656865415796,0.575909557034028,0.821428571428571,23,28,0.644085752106571,0.921214980543957,NaN,0,0.785714285714286,22,28,0.604614143462782,0.897875396671021,0,0,16,0,0.193607680534436,0.821428571428571,23,28,0.644085752106571,0.921214980543957,1,11,11,0.741167033031969,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,28,0,0.120643304765845,0,0,28,0,0.120643304765845,0.0714285714285714,2,28,0.0198120641153058,0.22645362568399,0.0714285714285714,2,28,0.0198120641153058,0.22645362568399,0.0357142857142857,1,28,0.00633251984903777,0.177121977433533,0.114085575134061,0.0244401996951368,0.870142525940641,0.11432775793541,0.925641025641026,1.25
M3_M4_q750_K3_qs80,A_stage4a1_quick61,P0_no_prior,dev01,in_library_continuous,,detail,28,1,28,28,0.392857142857143,11,28,0.235656865415796,0.575909557034028,0.821428571428571,23,28,0.644085752106571,0.921214980543957,NaN,0,0.785714285714286,22,28,0.604614143462782,0.897875396671021,0,0,16,0,0.193607680534436,0.821428571428571,23,28,0.644085752106571,0.921214980543957,1,11,11,0.741167033031969,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,28,0,0.120643304765845,0,0,28,0,0.120643304765845,0.0714285714285714,2,28,0.0198120641153058,0.22645362568399,0.0714285714285714,2,28,0.0198120641153058,0.22645362568399,0.0357142857142857,1,28,0.00633251984903777,0.177121977433533,0.114085575134061,0.0244401996951368,0.870142525940641,0.11432775793541,0.925641025641026,1.25
M3_M4_q750_K3_qs90,A_stage4a1_quick61,P0_no_prior,dev01,in_library_continuous,,detail,28,1,28,28,0.321428571428571,9,28,0.17933246922495,0.506611568191424,0.642857142857143,18,28,0.458303065144278,0.792941704922623,NaN,0,0.785714285714286,22,28,0.604614143462782,0.897875396671021,0,0,16,0,0.193607680534436,0.642857142857143,18,28,0.458303065144278,0.792941704922623,1,9,9,0.700854951580457,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,28,0,0.120643304765845,0,0,28,0,0.120643304765845,0.0714285714285714,2,28,0.0198120641153058,0.22645362568399,0.25,7,28,0.126764949192933,0.433556703189989,0.0357142857142857,1,28,0.00633251984903777,0.177121977433533,0.114085575134061,0.0244401996951368,0.870142525940641,0.11432775793541,0.925641025641026,0.964285714285714
M3_M4_q750_K5_qs70,A_stage4a1_quick61,P0_no_prior,dev01,in_library_continuous,,detail,28,1,28,28,0.392857142857143,11,28,0.235656865415796,0.575909557034028,0.821428571428571,23,28,0.644085752106571,0.921214980543957,NaN,0,0.785714285714286,22,28,0.604614143462782,0.897875396671021,0,0,16,0,0.193607680534436,0.821428571428571,23,28,0.644085752106571,0.921214980543957,1,11,11,0.741167033031969,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,28,0,0.120643304765845,0,0,28,0,0.120643304765845,0.107142857142857,3,28,0.0371183668293001,0.271958515486721,0.0714285714285714,2,28,0.0198120641153058,0.22645362568399,0,0,28,0,0.120643304765845,0.114085575134061,0.0244401996951368,0.870142525940641,0.114597802738111,0.926666666666667,1.25
M3_M4_q750_K5_qs80,A_stage4a1_quick61,P0_no_prior,dev01,in_library_continuous,,detail,28,1,28,28,0.392857142857143,11,28,0.235656865415796,0.575909557034028,0.821428571428571,23,28,0.644085752106571,0.921214980543957,NaN,0,0.785714285714286,22,28,0.604614143462782,0.897875396671021,0,0,16,0,0.193607680534436,0.821428571428571,23,28,0.644085752106571,0.921214980543957,1,11,11,0.741167033031969,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,28,0,0.120643304765845,0,0,28,0,0.120643304765845,0.107142857142857,3,28,0.0371183668293001,0.271958515486721,0.0714285714285714,2,28,0.0198120641153058,0.22645362568399,0,0,28,0,0.120643304765845,0.114085575134061,0.0244401996951368,0.870142525940641,0.114597802738111,0.926666666666667,1.25
M3_M4_q750_K5_qs90,A_stage4a1_quick61,P0_no_prior,dev01,in_library_continuous,,detail,28,1,28,28,0.321428571428571,9,28,0.17933246922495,0.506611568191424,0.642857142857143,18,28,0.458303065144278,0.792941704922623,NaN,0,0.785714285714286,22,28,0.604614143462782,0.897875396671021,0,0,16,0,0.193607680534436,0.642857142857143,18,28,0.458303065144278,0.792941704922623,1,9,9,0.700854951580457,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,28,0,0.120643304765845,0,0,28,0,0.120643304765845,0.107142857142857,3,28,0.0371183668293001,0.271958515486721,0.25,7,28,0.126764949192933,0.433556703189989,0,0,28,0,0.120643304765845,0.114085575134061,0.0244401996951368,0.870142525940641,0.114597802738111,0.926666666666667,0.964285714285714
M3_M4_q750_K10_qs70,A_stage4a1_quick61,P0_no_prior,dev01,in_library_continuous,,detail,28,1,28,28,0.392857142857143,11,28,0.235656865415796,0.575909557034028,0.821428571428571,23,28,0.644085752106571,0.921214980543957,NaN,0,0.785714285714286,22,28,0.604614143462782,0.897875396671021,0,0,16,0,0.193607680534436,0.821428571428571,23,28,0.644085752106571,0.921214980543957,1,11,11,0.741167033031969,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,28,0,0.120643304765845,0,0,28,0,0.120643304765845,0.107142857142857,3,28,0.0371183668293001,0.271958515486721,0.0714285714285714,2,28,0.0198120641153058,0.22645362568399,0,0,28,0,0.120643304765845,0.114085575134061,0.0244401996951368,0.870142525940641,0.115351229620117,0.926666666666667,1.25
M3_M4_q750_K10_qs80,A_stage4a1_quick61,P0_no_prior,dev01,in_library_continuous,,detail,28,1,28,28,0.392857142857143,11,28,0.235656865415796,0.575909557034028,0.821428571428571,23,28,0.644085752106571,0.921214980543957,NaN,0,0.785714285714286,22,28,0.604614143462782,0.897875396671021,0,0,16,0,0.193607680534436,0.821428571428571,23,28,0.644085752106571,0.921214980543957,1,11,11,0.741167033031969,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,28,0,0.120643304765845,0,0,28,0,0.120643304765845,0.107142857142857,3,28,0.0371183668293001,0.271958515486721,0.0714285714285714,2,28,0.0198120641153058,0.22645362568399,0,0,28,0,0.120643304765845,0.114085575134061,0.0244401996951368,0.870142525940641,0.115351229620117,0.926666666666667,1.25
M3_M4_q750_K10_qs90,A_stage4a1_quick61,P0_no_prior,dev01,in_library_continuous,,detail,28,1,28,28,0.321428571428571,9,28,0.17933246922495,0.506611568191424,0.642857142857143,18,28,0.458303065144278,0.792941704922623,NaN,0,0.785714285714286,22,28,0.604614143462782,0.897875396671021,0,0,16,0,0.193607680534436,0.642857142857143,18,28,0.458303065144278,0.792941704922623,1,9,9,0.700854951580457,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,28,0,0.120643304765845,0,0,28,0,0.120643304765845,0.107142857142857,3,28,0.0371183668293001,0.271958515486721,0.25,7,28,0.126764949192933,0.433556703189989,0,0,28,0,0.120643304765845,0.114085575134061,0.0244401996951368,0.870142525940641,0.115351229620117,0.926666666666667,0.964285714285714
M3_M4_q900_K3_qs70,A_stage4a1_quick61,P0_no_prior,dev01,in_library_continuous,,detail,28,1,28,28,0.392857142857143,11,28,0.235656865415796,0.575909557034028,0.821428571428571,23,28,0.644085752106571,0.921214980543957,NaN,0,0.785714285714286,22,28,0.604614143462782,0.897875396671021,0,0,16,0,0.193607680534436,0.821428571428571,23,28,0.644085752106571,0.921214980543957,1,11,11,0.741167033031969,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,28,0,0.120643304765845,0,0,28,0,0.120643304765845,0.0714285714285714,2,28,0.0198120641153058,0.22645362568399,0.0714285714285714,2,28,0.0198120641153058,0.22645362568399,0.0357142857142857,1,28,0.00633251984903777,0.177121977433533,0.114085575134061,0.0244401996951368,0.870142525940641,0.11432775793541,0.925641025641026,1.25
M3_M4_q900_K3_qs80,A_stage4a1_quick61,P0_no_prior,dev01,in_library_continuous,,detail,28,1,28,28,0.392857142857143,11,28,0.235656865415796,0.575909557034028,0.821428571428571,23,28,0.644085752106571,0.921214980543957,NaN,0,0.785714285714286,22,28,0.604614143462782,0.897875396671021,0,0,16,0,0.193607680534436,0.821428571428571,23,28,0.644085752106571,0.921214980543957,1,11,11,0.741167033031969,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,28,0,0.120643304765845,0,0,28,0,0.120643304765845,0.0714285714285714,2,28,0.0198120641153058,0.22645362568399,0.0714285714285714,2,28,0.0198120641153058,0.22645362568399,0.0357142857142857,1,28,0.00633251984903777,0.177121977433533,0.114085575134061,0.0244401996951368,0.870142525940641,0.11432775793541,0.925641025641026,1.25
M3_M4_q900_K3_qs90,A_stage4a1_quick61,P0_no_prior,dev01,in_library_continuous,,detail,28,1,28,28,0.321428571428571,9,28,0.17933246922495,0.506611568191424,0.642857142857143,18,28,0.458303065144278,0.792941704922623,NaN,0,0.785714285714286,22,28,0.604614143462782,0.897875396671021,0,0,16,0,0.193607680534436,0.642857142857143,18,28,0.458303065144278,0.792941704922623,1,9,9,0.700854951580457,1,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,0,28,0,0.120643304765845,0,0,28,0,0.120643304765845,0.0714285714285714,2,28,0.0198120641153058,0.22645362568399,0.25,7,28,0.126764949192933,0.433556703189989,0.0357142857142857,1,28,0.00633251984903777,0.177121977433533,0.114085575134061,0.0244401996951368,0.870142525940641,0.11432775793541,0.925641025641026,0.964285714285714
