sample_id,method_id,decision,topology_status,topology_set,decision_reason,best_topology_id,accepted_topology_set,accepted_member_count,evaluated_member_count,parameter_domain_status,best_distance,second_distance,margin,rho,compatibility_hash,calibration_hash,profile_evaluated,profile_computed,profile_reliable,profile_calibration_status,profile_source_file
pilot_G001_in_01,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G001,"",0,0,parameter_not_evaluated,0.267292027338581,0.270992756005851,0.00370072866726961,0.986343809617641,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G001_main_length_scale_near_lower_01,Stage4A5_1_M3_frozen,reject_subband_mismatch,reject_subband_mismatch,"",one or more calibrated subband residual statistics fail,G001,"",0,0,parameter_not_evaluated,0.190918579813915,0.236419558022006,0.0455009782080911,0.807541395519133,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G001_main_length_scale_near_upper_02,Stage4A5_1_M3_frozen,unique_topology,unique_topology,"G001",singleton baseline class passed all frozen rules,G001,"G001",1,1,parameter_out_suspected,0.151012814430197,0.209407730108849,0.0583949156786518,0.721142502003056,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G001_main_length_scale_near_upper_02.mat
pilot_G001_main_length_scale_medium_lower_03,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G002,"",0,0,parameter_not_evaluated,0.37091829114644,0.383292397544151,0.0123741063977113,0.967716274891015,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G001_main_length_scale_far_upper_04,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G004,"",0,0,parameter_not_evaluated,0.390210923829622,0.39180520465398,0.0015942808243582,0.995930935050334,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G001_source_impedance_ohm_near_lower_01,Stage4A5_1_M3_frozen,unique_topology,unique_topology,"G001",singleton baseline class passed all frozen rules,G001,"G001",1,1,parameter_domain_indeterminate,0.0769419902843997,0.167965572557956,0.0910235822735558,0.458081909954454,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G001_source_impedance_ohm_near_lower_01.mat
pilot_G001_source_impedance_ohm_near_upper_02,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G001,"",0,0,parameter_not_evaluated,0.207789975329075,0.250326610048572,0.0425366347194971,0.830075457371178,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G001_source_impedance_ohm_medium_lower_03,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G001,"",0,0,parameter_not_evaluated,0.23430747226392,0.25286314378016,0.0185556715162401,0.926617729892265,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G001_source_impedance_ohm_far_upper_04,Stage4A5_1_M3_frozen,reject_subband_mismatch,reject_subband_mismatch,"",one or more calibrated subband residual statistics fail,G001,"",0,0,parameter_not_evaluated,0.191703328786799,0.232989669613578,0.0412863408267796,0.8227975476506,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G001_receiver_impedance_ohm_near_lower_01,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G001,"",0,0,parameter_not_evaluated,0.196310349089652,0.219051399739371,0.0227410506497191,0.89618395190502,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G001_receiver_impedance_ohm_near_upper_02,Stage4A5_1_M3_frozen,unique_topology,unique_topology,"G001",singleton baseline class passed all frozen rules,G001,"G001",1,1,parameter_domain_indeterminate,0.101097567691469,0.214979112693886,0.113881545002418,0.470266931629556,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G001_receiver_impedance_ohm_near_upper_02.mat
pilot_G001_receiver_impedance_ohm_medium_lower_03,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G001,"",0,0,parameter_not_evaluated,0.201394766911407,0.215661908605807,0.0142671416943992,0.933844869557326,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G001_receiver_impedance_ohm_far_upper_04,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G001,"",0,0,parameter_not_evaluated,0.304934161829284,0.329952222253943,0.0250180604246593,0.924176717905756,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G002_in_01,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G002,"G002,G005",2,2,parameter_in_domain,0.1406191777012,0.157128735520895,0.0165095578196952,0.894929735379977,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G002_in_01.mat
pilot_G002_main_length_scale_near_lower_01,Stage4A5_1_M3_frozen,reject_low_stability,reject_low_stability,"",contiguous-block selection stability below frozen threshold,G002,"",0,0,parameter_not_evaluated,0.118828389702428,0.15538288967332,0.0365544999708926,0.764745654759606,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G002_main_length_scale_near_upper_02,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G005,"G002,G005",2,2,parameter_out_suspected,0.110085365502417,0.135485863056361,0.0254004975539445,0.812522893667581,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G002_main_length_scale_near_upper_02.mat
pilot_G002_main_length_scale_medium_lower_03,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G006,"",0,0,parameter_not_evaluated,0.237320174644001,0.238294637467194,0.000974462823193134,0.995910680850621,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G002_main_length_scale_far_upper_04,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G004,"",0,0,parameter_not_evaluated,0.3123086721349,0.314467262793491,0.00215859065859048,0.993135722172132,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G002_branch_length_scale_near_lower_01,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G005,"G002,G005",2,2,parameter_domain_indeterminate,0.127934309268243,0.1521982191727,0.0242639099044573,0.840576913204447,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G002_branch_length_scale_near_lower_01.mat
pilot_G002_branch_length_scale_near_upper_02,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G005,"G002,G005",2,2,parameter_domain_indeterminate,0.151143764563034,0.169401164438439,0.0182573998754043,0.892223882068229,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G002_branch_length_scale_near_upper_02.mat
pilot_G002_branch_length_scale_medium_lower_03,Stage4A5_1_M3_frozen,reject_subband_mismatch,reject_subband_mismatch,"",one or more calibrated subband residual statistics fail,G005,"",0,0,parameter_not_evaluated,0.168741850172998,0.172555852500817,0.00381400232781878,0.9778969981399,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G002_branch_length_scale_far_upper_04,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G005,"",0,0,parameter_not_evaluated,0.195649073469992,0.196599606178212,0.000950532708220209,0.995165134215204,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G002_branch_load_scale_near_lower_01,Stage4A5_1_M3_frozen,reject_subband_mismatch,reject_subband_mismatch,"",one or more calibrated subband residual statistics fail,G002,"",0,0,parameter_not_evaluated,0.164268796698888,0.174543770679116,0.0102749739802279,0.941132393661537,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G002_branch_load_scale_near_upper_02,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G005,"G002,G005",2,2,parameter_domain_indeterminate,0.0896104220023487,0.123626953268716,0.0340165312663669,0.724845348302377,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G002_branch_load_scale_near_upper_02.mat
pilot_G002_branch_load_scale_medium_lower_03,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G005,"",0,0,parameter_not_evaluated,0.192203173415711,0.200773773487495,0.00857060007178448,0.957312153256533,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G002_branch_load_scale_far_upper_04,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G002,"G002,G005",2,2,parameter_domain_indeterminate,0.156817231287246,0.173170683919461,0.016353452632215,0.905564543241474,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G002_branch_load_scale_far_upper_04.mat
pilot_G002_source_impedance_ohm_near_lower_01,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G002,"G002,G005",2,2,parameter_domain_indeterminate,0.0352174550003951,0.0942368420595787,0.0590193870591836,0.373712172758888,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G002_source_impedance_ohm_near_lower_01.mat
pilot_G002_source_impedance_ohm_near_upper_02,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G002,"G002,G005",2,2,parameter_in_domain,0.0990111089495224,0.136515721229048,0.0375046122795252,0.725272577087845,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G002_source_impedance_ohm_near_upper_02.mat
pilot_G002_source_impedance_ohm_medium_lower_03,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G005,"G002,G005",2,2,parameter_domain_indeterminate,0.122511889025717,0.144040333356113,0.0215284443303959,0.850538777371325,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G002_source_impedance_ohm_medium_lower_03.mat
pilot_G002_source_impedance_ohm_far_upper_04,Stage4A5_1_M3_frozen,reject_subband_mismatch,reject_subband_mismatch,"",one or more calibrated subband residual statistics fail,G002,"",0,0,parameter_not_evaluated,0.180570070691159,0.19171082490336,0.0111407542122011,0.941887714380453,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G002_receiver_impedance_ohm_near_lower_01,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G002,"G002,G005",2,2,parameter_domain_indeterminate,0.0497508242365186,0.0993084959923271,0.0495576717558085,0.500972487186409,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G002_receiver_impedance_ohm_near_lower_01.mat
pilot_G002_receiver_impedance_ohm_near_upper_02,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G005,"G002,G005",2,2,parameter_domain_indeterminate,0.122524367371207,0.154127225903795,0.0316028585325879,0.794956028384569,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G002_receiver_impedance_ohm_near_upper_02.mat
pilot_G002_receiver_impedance_ohm_medium_lower_03,Stage4A5_1_M3_frozen,equivalence_class,equivalence_class,"G002,G005",best observation class has multiple members,G002,"G002,G005",2,2,parameter_domain_indeterminate,0.138733694162164,0.148547191741818,0.00981349757965425,0.933936835388686,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G002_receiver_impedance_ohm_medium_lower_03.mat
pilot_G002_receiver_impedance_ohm_far_upper_04,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G005,"",0,0,parameter_not_evaluated,0.194643474577553,0.215254188195364,0.0206107136178104,0.904249418831245,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G003_in_01,Stage4A5_1_M3_frozen,unique_topology,unique_topology,"G003",singleton baseline class passed all frozen rules,G003,"G003",1,1,parameter_in_domain,0.0681917446006667,0.135761835131544,0.0675700905308772,0.502289502304468,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G003_in_01.mat
pilot_G003_main_length_scale_near_lower_01,Stage4A5_1_M3_frozen,unique_topology,unique_topology,"G003",singleton baseline class passed all frozen rules,G003,"G003",1,1,parameter_out_suspected,0.0695532156395488,0.142794183479581,0.0732409678400319,0.487087176411549,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G003_main_length_scale_near_lower_01.mat
pilot_G003_main_length_scale_near_upper_02,Stage4A5_1_M3_frozen,unique_topology,unique_topology,"G003",singleton baseline class passed all frozen rules,G003,"G003",1,1,parameter_out_suspected,0.0823522857364378,0.133194781291212,0.0508424955547745,0.618284627501789,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G003_main_length_scale_near_upper_02.mat
pilot_G003_main_length_scale_medium_lower_03,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G004,"",0,0,parameter_not_evaluated,0.272932617222599,0.279942264391608,0.0070096471690092,0.974960382687416,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G003_main_length_scale_far_upper_04,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G007,"",0,0,parameter_not_evaluated,0.316306591334378,0.317315277909862,0.00100868657548364,0.99682118496429,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G003_branch_length_scale_near_lower_01,Stage4A5_1_M3_frozen,reject_subband_mismatch,reject_subband_mismatch,"",one or more calibrated subband residual statistics fail,G003,"",0,0,parameter_not_evaluated,0.17325802397775,0.191498899746737,0.0182408757689876,0.904746837741541,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G003_branch_length_scale_near_upper_02,Stage4A5_1_M3_frozen,unique_topology,unique_topology,"G003",singleton baseline class passed all frozen rules,G003,"G003",1,1,parameter_domain_indeterminate,0.0276309127680016,0.115014008518994,0.0873830957509928,0.240239542326691,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G003_branch_length_scale_near_upper_02.mat
pilot_G003_branch_length_scale_medium_lower_03,Stage4A5_1_M3_frozen,reject_subband_mismatch,reject_subband_mismatch,"",one or more calibrated subband residual statistics fail,G003,"",0,0,parameter_not_evaluated,0.189617581449765,0.200878666618875,0.0112610851691101,0.943940860622002,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G003_branch_length_scale_far_upper_04,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G003,"",0,0,parameter_not_evaluated,0.21409626229113,0.229591178173348,0.0154949158822183,0.932510839456333,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G003_branch_load_scale_near_lower_01,Stage4A5_1_M3_frozen,reject_subband_mismatch,reject_subband_mismatch,"",one or more calibrated subband residual statistics fail,G003,"",0,0,parameter_not_evaluated,0.186067470996815,0.193443531378336,0.00737606038152075,0.961869697425775,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G003_branch_load_scale_near_upper_02,Stage4A5_1_M3_frozen,unique_topology,unique_topology,"G003",singleton baseline class passed all frozen rules,G003,"G003",1,1,parameter_domain_indeterminate,0.078400213211782,0.13458320149135,0.0561829882795683,0.582540854597208,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G003_branch_load_scale_near_upper_02.mat
pilot_G003_branch_load_scale_medium_lower_03,Stage4A5_1_M3_frozen,reject_low_stability,reject_low_stability,"",contiguous-block selection stability below frozen threshold,G003,"",0,0,parameter_not_evaluated,0.167038767860837,0.183595132541294,0.016556364680457,0.909821331033147,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G003_branch_load_scale_far_upper_04,Stage4A5_1_M3_frozen,unique_topology,unique_topology,"G003",singleton baseline class passed all frozen rules,G003,"G003",1,1,parameter_domain_indeterminate,0.0362922701980675,0.11640393752606,0.0801116673279927,0.311778716159243,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G003_branch_load_scale_far_upper_04.mat
pilot_G003_source_impedance_ohm_near_lower_01,Stage4A5_1_M3_frozen,unique_topology,unique_topology,"G003",singleton baseline class passed all frozen rules,G003,"G003",1,1,parameter_domain_indeterminate,0.0681665296081465,0.133245328470342,0.0650787988621953,0.511586637897085,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G003_source_impedance_ohm_near_lower_01.mat
pilot_G003_source_impedance_ohm_near_upper_02,Stage4A5_1_M3_frozen,reject_subband_mismatch,reject_subband_mismatch,"",one or more calibrated subband residual statistics fail,G003,"",0,0,parameter_not_evaluated,0.191044716653923,0.201023812297135,0.00997909564321231,0.95035863895859,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
pilot_G003_source_impedance_ohm_medium_lower_03,Stage4A5_1_M3_frozen,unique_topology,unique_topology,"G003",singleton baseline class passed all frozen rules,G003,"G003",1,1,parameter_domain_indeterminate,0.0329552769168699,0.113764264549593,0.080808987632723,0.289680393461465,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,1,1,1,calibrated,stage4a6_3_1_final_pilot_G003_source_impedance_ohm_medium_lower_03.mat
pilot_G003_source_impedance_ohm_far_upper_04,Stage4A5_1_M3_frozen,reject_model_mismatch,reject_model_mismatch,"",best full-band residual exceeds calibration threshold,G003,"",0,0,parameter_not_evaluated,0.208596347935462,0.219357568557616,0.0107612206221539,0.950942104738555,a6c12facc0071f4fc59858c331eb2300d3cdbab4674021ee777808a9a37d2194,NaN,0,0,0,,
