library,scenario,method,truth_signature,truth_pattern,replicates,false_unique_k,false_unique_rate,false_unique_low95,false_unique_high95,nonempty_set_accepted_k,nonempty_set_acceptance_rate,acceptance_low95,acceptance_high95,candidate_set_nonempty_k
scale_small,T_library_out_20db,M2R_plus_band_gate,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;2,15,1,50;2,15,1,50;3,15,1,50;","[2,2,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_20db,M2R_plus_band_gate,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;2,15,1,50;3,15,1,50;3,15,1,50;","[2,1,2]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;1,15,1,50;","[3,0,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;2,15,1,50;2,15,1,50;","[0,3,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;1,15,1,50;2,15,1,50;","[3,1,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;1,15,1,50;3,15,1,50;","[3,0,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;2,15,1,50;2,15,1,50;2,15,1,50;","[1,3,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;2,15,1,50;2,15,1,50;3,15,1,50;","[0,3,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;2,15,1,50;2,15,1,50;3,15,1,50;","[2,2,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;2,15,1,50;3,15,1,50;3,15,1,50;","[2,1,2]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2R,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;1,15,1,50;","[3,0,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2R,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;2,15,1,50;2,15,1,50;","[0,3,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2R,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;1,15,1,50;2,15,1,50;","[3,1,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2R,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;1,15,1,50;3,15,1,50;","[3,0,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2R,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;2,15,1,50;2,15,1,50;2,15,1,50;","[1,3,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2R,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;2,15,1,50;2,15,1,50;3,15,1,50;","[0,3,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2R,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;2,15,1,50;2,15,1,50;3,15,1,50;","[2,2,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2R,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;2,15,1,50;3,15,1,50;3,15,1,50;","[2,1,2]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2R_plus_band_gate,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;1,15,1,50;","[3,0,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2R_plus_band_gate,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;2,15,1,50;2,15,1,50;","[0,3,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2R_plus_band_gate,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;1,15,1,50;2,15,1,50;","[3,1,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2R_plus_band_gate,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;1,15,1,50;3,15,1,50;","[3,0,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2R_plus_band_gate,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;2,15,1,50;2,15,1,50;2,15,1,50;","[1,3,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2R_plus_band_gate,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;2,15,1,50;2,15,1,50;3,15,1,50;","[0,3,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2R_plus_band_gate,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;2,15,1,50;2,15,1,50;3,15,1,50;","[2,2,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_small,T_library_out_10db,M2R_plus_band_gate,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;2,15,1,50;3,15,1,50;3,15,1,50;","[2,1,2]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_medium,T_library_out_20db,M2,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;1,15,1,50;","[3,0,0]",30,0,0,0,0.113513393173969,18,0.6,0.423203602533225,0.754093718831982,27
scale_medium,T_library_out_20db,M2,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;2,15,1,50;2,15,1,50;","[0,3,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_medium,T_library_out_20db,M2,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;1,15,1,50;2,15,1,50;","[3,1,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,5
scale_medium,T_library_out_20db,M2,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;1,15,1,50;3,15,1,50;","[3,0,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,7
scale_medium,T_library_out_20db,M2,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;2,15,1,50;2,15,1,50;2,15,1,50;","[1,3,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,3
scale_medium,T_library_out_20db,M2,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;2,15,1,50;2,15,1,50;3,15,1,50;","[0,3,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,4
scale_medium,T_library_out_20db,M2,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;2,15,1,50;2,15,1,50;3,15,1,50;","[2,2,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_medium,T_library_out_20db,M2,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;2,15,1,50;3,15,1,50;3,15,1,50;","[2,1,2]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_medium,T_library_out_20db,M2R,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;1,15,1,50;","[3,0,0]",30,0,0,0,0.113513393173969,18,0.6,0.423203602533225,0.754093718831982,27
scale_medium,T_library_out_20db,M2R,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;2,15,1,50;2,15,1,50;","[0,3,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_medium,T_library_out_20db,M2R,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;1,15,1,50;2,15,1,50;","[3,1,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,5
scale_medium,T_library_out_20db,M2R,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;1,15,1,50;3,15,1,50;","[3,0,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,7
scale_medium,T_library_out_20db,M2R,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;2,15,1,50;2,15,1,50;2,15,1,50;","[1,3,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,3
scale_medium,T_library_out_20db,M2R,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;2,15,1,50;2,15,1,50;3,15,1,50;","[0,3,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,4
scale_medium,T_library_out_20db,M2R,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;2,15,1,50;2,15,1,50;3,15,1,50;","[2,2,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_medium,T_library_out_20db,M2R,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;2,15,1,50;3,15,1,50;3,15,1,50;","[2,1,2]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_medium,T_library_out_20db,M2R_plus_band_gate,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;1,15,1,50;","[3,0,0]",30,0,0,0,0.113513393173969,18,0.6,0.423203602533225,0.754093718831982,27
scale_medium,T_library_out_20db,M2R_plus_band_gate,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;2,15,1,50;2,15,1,50;","[0,3,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_medium,T_library_out_20db,M2R_plus_band_gate,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;1,15,1,50;2,15,1,50;","[3,1,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,5
scale_medium,T_library_out_20db,M2R_plus_band_gate,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;1,15,1,50;3,15,1,50;","[3,0,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,7
scale_medium,T_library_out_20db,M2R_plus_band_gate,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;2,15,1,50;2,15,1,50;2,15,1,50;","[1,3,0]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,3
scale_medium,T_library_out_20db,M2R_plus_band_gate,"M=20,20,20,20,|T=0,0,0,0,|B=2,15,1,50;2,15,1,50;2,15,1,50;3,15,1,50;","[0,3,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,4
scale_medium,T_library_out_20db,M2R_plus_band_gate,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;2,15,1,50;2,15,1,50;3,15,1,50;","[2,2,1]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
scale_medium,T_library_out_20db,M2R_plus_band_gate,"M=20,20,20,20,|T=0,0,0,0,|B=1,15,1,50;1,15,1,50;2,15,1,50;3,15,1,50;3,15,1,50;","[2,1,2]",30,0,0,0,0.113513393173969,0,0,0,0.113513393173969,0
